nom_fr,date,NDVI,NDWI,NDDI_corrige
Guelmim-Oued Noun,2025-07-12,0.06263467855790229,-0.0728666727174648,-7.050948009624824
Laâyoune-Sakia El Hamra,2025-07-12,0.07701450757204704,-0.08757567294217761,-0.10089727233699511
Souss-Massa,2025-07-12,0.11434771322887172,-0.07939709360828966,5.199516009654917
Dakhla-Oued Ed-Dahab,2025-07-12,0.07610518087193173,-0.07108420103945856,3.157360326691329
Tanger-Tétouan-Al Hoceima,2025-07-12,0.30566830913162024,-0.04861170932759881,1.9869138323394266
Drâa-Tafilalet,2025-07-12,0.12288801160204126,-0.0668834107310669,1.6336939258364498
Marrakech-Safi,2025-07-12,0.18990658756034107,-0.08316319764438003,3.7998150909010517
l'Oriental,2025-07-12,0.16714214938960512,-0.10329071833354675,1.932953919104668
Béni Mellal-Khénifra,2025-07-12,0.21622996241060088,-0.04257119944754987,1.7694612743306615
Casablanca-Settat,2025-07-12,0.2343706775312744,-0.08261151324725663,2.9565019757556104
Rabat-Salé-Kénitra,2025-07-12,0.2792486587450817,-0.055999721207991494,1.9154735902009163
Fès-Meknès,2025-07-20,0.22108093319703756,-0.04941560252754415,2.3903924386671638
Guelmim-Oued Noun,2025-07-20,0.07648084121817862,-0.08370147275279342,-0.8997850376546959
Laâyoune-Sakia El Hamra,2025-07-20,0.07591513193323458,-0.08368367820215124,2.8003271868811503
Souss-Massa,2025-07-20,0.13503153800477138,-0.09588097906656066,6.062713556055368
Dakhla-Oued Ed-Dahab,2025-07-20,0.0742187968822214,-0.07176890089875017,1.673839735667099
Tanger-Tétouan-Al Hoceima,2025-07-20,0.3026745437487086,-0.044874429371538495,2.216271977801649
Drâa-Tafilalet,2025-07-20,0.12295671769054513,-0.06654109253583194,1.7470639580563103
Marrakech-Safi,2025-07-20,0.18577815016629068,-0.08914692373448184,3.5996190592686403
l'Oriental,2025-07-20,0.1624390399347657,-0.11274317351630231,3.8972526688552382
Béni Mellal-Khénifra,2025-07-20,0.2110741326287397,-0.033565811790691694,1.8646768846653676
Casablanca-Settat,2025-07-20,0.19717155288834798,-0.07910419569852133,3.9999110308463206
Rabat-Salé-Kénitra,2025-07-20,0.2775345441276814,-0.04529500937684417,1.8991284854686559
Fès-Meknès,2025-07-28,0.2325780760650924,-0.05346269820475225,2.947200412456136
Guelmim-Oued Noun,2025-07-28,0.0687694719899393,-0.07216088364030544,1.5989749030104454
Laâyoune-Sakia El Hamra,2025-07-28,0.07911284949966775,-0.0847181894470737,4.20122801473393
Souss-Massa,2025-07-28,0.1141779480717989,-0.08305273063089155,3.2369000742815253
Dakhla-Oued Ed-Dahab,2025-07-28,0.07420406286607577,-0.07194419052434466,3.110023891959987
Tanger-Tétouan-Al Hoceima,2025-07-28,0.3073851112513516,-0.050636007663918285,2.1749428392591774
Drâa-Tafilalet,2025-07-28,0.12160895027202762,-0.06304472197271271,1.5852535799455483
Marrakech-Safi,2025-07-28,0.186864050710189,-0.08962320179112143,3.3528792464831727
l'Oriental,2025-07-28,0.16788526971976644,-0.11437032065532797,0.4916923113058514
Béni Mellal-Khénifra,2025-07-28,0.221213508139653,-0.04217917876156024,2.0156411684389353
Casablanca-Settat,2025-07-28,0.20460665302691255,-0.07206513521183566,3.359633537233282
Rabat-Salé-Kénitra,2025-07-28,0.2743596011598495,-0.05891413891465987,2.009001095828947
Fès-Meknès,2025-08-05,0.23157720122100392,-0.052616850578205775,1.8530310555653942
Guelmim-Oued Noun,2025-08-05,0.06966545064422512,-0.07730818043729933,-4.917813599857156
Laâyoune-Sakia El Hamra,2025-08-05,0.067834127909128,-0.08004117505377942,-5.514314018974628
Souss-Massa,2025-08-05,0.12469538033730207,-0.09816270163214456,4.7175154553876215
Dakhla-Oued Ed-Dahab,2025-08-05,0.06860267864456575,-0.06403133257311946,0.14697436069081693
Tanger-Tétouan-Al Hoceima,2025-08-05,0.3027827686310244,-0.051652120017038845,2.206952481704816
Drâa-Tafilalet,2025-08-05,0.11800818764202638,-0.06600260846946822,1.0274497637548523
Marrakech-Safi,2025-08-05,0.16871492605995952,-0.09295193547404278,5.5190179945946225
l'Oriental,2025-08-05,0.1680147080023169,-0.10739262607278106,0.45913404900408167
Béni Mellal-Khénifra,2025-08-05,0.21956401138592552,-0.04265914646198471,2.209313560921001
Casablanca-Settat,2025-08-05,0.2102052773579674,-0.07676448764453563,2.5094535709428136
Rabat-Salé-Kénitra,2025-08-05,0.2933324393712538,-0.06295543494357456,1.842605010941237
Fès-Meknès,2025-08-13,0.23754284113120783,-0.053818919795832434,2.438088202116479
Guelmim-Oued Noun,2025-08-13,0.0621637682009187,-0.0700158128179316,-4.236609003287435
Laâyoune-Sakia El Hamra,2025-08-13,0.06946848593613511,-0.08104849536992934,-5.547139622104472
Souss-Massa,2025-08-13,0.10965148093654571,-0.08306082497787597,5.358003486158944
Dakhla-Oued Ed-Dahab,2025-08-13,0.06930647975577205,-0.06810158798386279,0.29059470098462215
Tanger-Tétouan-Al Hoceima,2025-08-13,0.28652182876745724,-0.059732203755665327,2.558333689024588
Drâa-Tafilalet,2025-08-13,0.12129848469100235,-0.07279071869478099,1.0064473093752235
Marrakech-Safi,2025-08-13,0.16839273928638512,-0.09441266773958694,4.4990907374127245
l'Oriental,2025-08-13,0.16088520758403174,-0.11160258252566613,0.49337555160795626
Béni Mellal-Khénifra,2025-08-13,0.21334470002201503,-0.039872978136134996,2.1518864174802115
Casablanca-Settat,2025-08-13,0.19777349600266939,-0.0883936018358318,2.151754742488511
Rabat-Salé-Kénitra,2025-08-13,0.28374470423704184,-0.05516263247561018,1.3267340663796738
Fès-Meknès,2025-08-21,0.25131146213047595,-0.0496665448682717,2.4569935745234055
Guelmim-Oued Noun,2025-08-21,0.08376831651638747,-0.08780761976050509,-2.615303354928274
Laâyoune-Sakia El Hamra,2025-08-21,0.0758890591012754,-0.08841020965900055,0.8133177726268099
Souss-Massa,2025-08-21,0.14186457789829787,-0.1049164891240706,4.586830387113403
Dakhla-Oued Ed-Dahab,2025-08-21,0.07270690005556335,-0.06268836109759768,2.7781775589510027
Tanger-Tétouan-Al Hoceima,2025-08-21,0.3062155082122896,-0.055309588029146865,2.243979188344153
Drâa-Tafilalet,2025-08-21,0.11758182103052182,-0.06390715157890599,1.9449439318565571
Marrakech-Safi,2025-08-21,0.1846693968666452,-0.09642683555756074,4.743134614595524
l'Oriental,2025-08-21,0.16997382988481766,-0.1192599143513405,-2.6102060077386295
Béni Mellal-Khénifra,2025-08-21,0.2448910352751083,-0.03442980412691401,2.026601627898545
Casablanca-Settat,2025-08-21,0.1985672199132824,-0.07337777745212708,2.6603354939674557
Rabat-Salé-Kénitra,2025-08-21,0.29623275828665513,-0.049162786392281936,2.0999885935033
Fès-Meknès,2025-08-29,0.23106037016618833,-0.0594957790611398,2.649976281468747
Guelmim-Oued Noun,2025-08-29,0.0958654178002847,-0.10652428320886587,-13.053607420519711
Laâyoune-Sakia El Hamra,2025-08-29,0.0791618823591883,-0.08838236520512328,-0.6486143715509953
Souss-Massa,2025-08-29,0.12908200291442476,-0.08361247483265148,2.8313087865899838
Dakhla-Oued Ed-Dahab,2025-08-29,0.06667629348569987,-0.06765057889886604,1.3106747840641209
Tanger-Tétouan-Al Hoceima,2025-08-29,0.3032914644417371,-0.060657024898937706,2.7901426841688917
Drâa-Tafilalet,2025-08-29,0.12504816784083547,-0.06959196519016142,1.4719977867759617
Marrakech-Safi,2025-08-29,0.17583466413037757,-0.09539329168090642,4.400871343462426
l'Oriental,2025-08-29,0.16396041573454098,-0.1123477091318766,2.72589632447971
Béni Mellal-Khénifra,2025-08-29,0.23374748393376807,-0.031658919658522126,1.912183669301705
Casablanca-Settat,2025-08-29,0.18669914306043317,-0.06685929680577715,3.059561341025102
Rabat-Salé-Kénitra,2025-08-29,0.2932010568842985,-0.04779809220367682,2.2116671986233216
Fès-Meknès,2025-09-06,0.23749451653556314,-0.06001469332722727,2.496404496280343
Guelmim-Oued Noun,2025-09-06,0.0760592883576033,-0.06954537611483486,1.0457509470510031
Laâyoune-Sakia El Hamra,2025-09-06,0.06477700674813139,-0.07802753508716874,-6.159667273557216
Souss-Massa,2025-09-06,0.12744755428018512,-0.09339802021350134,4.217975805604308
Dakhla-Oued Ed-Dahab,2025-09-06,0.07572837041870958,-0.07623841993485123,0.7180278005107739
Tanger-Tétouan-Al Hoceima,2025-09-06,0.29229916128931377,-0.07124334732268107,2.9223892962431255
Drâa-Tafilalet,2025-09-06,0.11887398199811612,-0.08178071616153786,-0.4713818143026448
Marrakech-Safi,2025-09-06,0.17701251418070868,-0.0954362461175494,4.559167250146856
l'Oriental,2025-09-06,0.16353370052740437,-0.1120733579457747,-0.24697198209981658
Béni Mellal-Khénifra,2025-09-06,0.22692005270354726,-0.02823988484200787,1.7260872034974029
Casablanca-Settat,2025-09-06,0.20141014210303676,-0.07598500055834777,2.818457402066778
Rabat-Salé-Kénitra,2025-09-06,0.29149669567469716,-0.042708610963657086,2.2759969423542774
Fès-Meknès,2025-09-14,0.2411501758679775,-0.05939311472987262,3.0053283895258303
Guelmim-Oued Noun,2025-09-14,0.06944504126042957,-0.07577208386840169,-2.4120147746977887
Laâyoune-Sakia El Hamra,2025-09-14,0.07483470198459144,-0.08349616902739573,2.1293975630069863
Souss-Massa,2025-09-14,0.11181204712651809,-0.08927095368466455,3.144519549006218
Dakhla-Oued Ed-Dahab,2025-09-14,0.06903512063525546,-0.06995140365206676,1.3749769835148091
Tanger-Tétouan-Al Hoceima,2025-09-14,0.3207977339750525,-0.07013644835212328,1.8727153286187657
Drâa-Tafilalet,2025-09-14,0.12404566249395073,-0.07866979387360573,2.9293796403547345
Marrakech-Safi,2025-09-14,0.16850980537629012,-0.09678861389401373,6.023454587919959
l'Oriental,2025-09-14,0.2029672285126936,-0.12824053650479103,0.41516333893439816
Béni Mellal-Khénifra,2025-09-14,0.23365795903469097,-0.043210219900835206,2.219547884323381
Casablanca-Settat,2025-09-14,0.19322827299030818,-0.07041904382631707,3.038573986844418
Rabat-Salé-Kénitra,2025-09-14,0.30526282259601967,-0.059495616672192296,1.897478916312024
Fès-Meknès,2025-09-22,0.24636297175891997,-0.05792699070259142,1.650985229779607
Guelmim-Oued Noun,2025-09-22,0.09984655915565,-0.09969587411434251,6.9339022904769
Laâyoune-Sakia El Hamra,2025-09-22,0.079472895143796,-0.0869661225112421,4.482427959918702
Souss-Massa,2025-09-22,0.14926517843346607,-0.10446590296688552,5.915584107252404
