nom_fr,year,month,date,P,NDVI,LST,ET_PET,P_mean,P_sd,NDVI_mean,NDVI_sd,NDVI_min,NDVI_max,LST_mean,LST_sd,LST_min,LST_max,Z_P,Z_NDVI,Z_LST,VCI,TCI,PC1_raw,CDAI,Severite
Casablanca-Settat,2000,4,2000-04,42.7685577925466,0.26345462827378907,34.48872518771611,0,32.930858345119304,16.858328196076588,0.38223964024649215,0.07009801163104828,0.26345462827378907,0.5148885171602124,32.15250706902679,2.956435161809431,24.78166200871581,37.103545757718386,0.5835513066898774,-1.6945560823880776,-0.7902145627504595,0,21.22093099702256,-0.9386192883628773,-0.7484637241068857,Anormalement sec
Rabat-Salé-Kénitra,2000,4,2000-04,69.00469771789075,0.3410991442609406,30.648833186020862,0,48.00472547902227,22.808746427463536,0.47439526755327777,0.06018052078794721,0.3410991442609406,0.5675663385603288,29.36563698476833,2.5824058058578743,22.44904432132968,35.45948206735682,0.9206982201171235,-2.2149380156084213,-0.49689951840325086,0,36.97527537286279,-0.7833250375596889,-0.6246306485142531,Anormalement sec
Fès-Meknès,2000,5,2000-05,41.507175138140944,0.265063391975586,34.90659355364568,0,33.317825367428135,18.478162908614397,0.2994434422490039,0.03055143766560891,0.24112257001166845,0.3541952186742659,33.28704562134433,2.6451809624134595,27.67111892822664,37.40013156982573,0.4431906900709804,-1.1253169376090857,-0.6122635673378168,21.171083492525284,25.629892210531526,-0.6438705177745734,-0.5134283213130332,Anormalement sec
Guelmim-Oued Noun,2000,5,2000-05,3.4779857917072343,0.12392805717720563,42.144579483061094,0,2.3617233969362155,1.6442261251933337,0.1457898244834792,0.01855265796922255,0.11899221896374287,0.18589761427699691,40.04574512141479,2.324869978580499,36.10638357654064,43.7396702845063,0.6788983447393921,-1.17836308643972,-0.9027749426777812,7.376237098139224,20.896486308211568,-0.7049023624499647,-0.5620956801892084,Anormalement sec
Laâyoune-Sakia El Hamra,2000,5,2000-05,0.9953079488942808,0.10976819192293444,42.06286946347286,0,0.7615760834176681,0.4421871808343062,0.1174903865747998,0.01080578884209928,0.10758452667654687,0.1534275565024083,39.65273383909053,2.03083201040019,35.17776011564165,42.576017933861536,0.5285812787146249,-0.7146349761879239,-1.1867725208385864,4.762313972883776,6.9360623729372914,-0.7621906738324059,-0.6077779109047995,Anormalement sec
Souss-Massa,2000,5,2000-05,8.879328331657343,0.181490759720616,41.92919222323317,0,7.814218567061556,5.71115169082259,0.19068583659819552,0.02225283468669031,0.15904750035039741,0.24499057167384944,40.833210070437424,1.883759323751541,36.08935976311374,44.06661271720133,0.18649649357192544,-0.41320923860002384,-0.5818058278342481,26.111061564934477,26.793907964045896,-0.44974248759248064,-0.3586288299483833,Normal
Dakhla-Oued Ed-Dahab,2000,5,2000-05,6.481295276810612e-4,0.02543913043478261,44.12907114249603,0,0.02550294978236352,0.02595974874468993,0.09379542522694696,0.03336058882317648,0.01969875776397515,0.1452832298136646,41.21138198937909,1.7265914327700789,35.94684475974787,44.299353778448975,-0.9574368573103588,-2.049013437816644,-1.689854992756397,4.570561567818344,2.0386979732902715,-2.663598528464602,-2.1239781654364354,Sécheresse exceptionnelle
Tanger-Tétouan-Al Hoceima,2000,5,2000-05,56.05305315649694,0.4802255959269263,28.735188013484834,0,30.16091883221875,17.010399369832182,0.46449399601761504,0.03266312176331006,0.37782272970045894,0.5217944156235943,29.85441133860625,2.0486605316067488,25.551630859033395,33.589831789237145,1.5221355925480324,0.4816318545210923,0.5463195623940778,71.12214693828156,60.394580559100326,1.5472525209260337,1.233793507446387,Normal
Drâa-Tafilalet,2000,5,2000-05,28.44228321907691,0.14521303355970197,40.800005844354985,0,17.182679539574597,9.850086696242178,0.1559009656381178,0.01040547245237917,0.13638402617524892,0.17512755214171108,40.60320184585573,1.915787079195311,36.32309077652773,44.17988833360013,1.1430969114005736,-1.027145295644128,-0.10272749025007488,22.782462148331476,43.01852202301562,0.17436537624264484,0.1390405678595149,Normal
Marrakech-Safi,2000,5,2000-05,11.718770745653709,0.19814746178765724,38.114050526945256,0,15.89321787584794,12.979780924026084,0.20987552023574377,0.02043909338843218,0.17771346339236962,0.2525956408468129,37.39801216027418,2.379551465630154,32.826278898344604,41.42504827394755,-0.3216115244647285,-0.57380521851934,-0.30091316662548284,27.28455639805314,38.50543899749874,-0.6696997136846053,-0.5340247616389375,Anormalement sec
