"Region","Date","NDVI_median","NDWI_median","NDDI_median"
"Marrakech-Safi",2024-06-17,0.154361915399633,-0.113583404073183,2.05222728442278
"l'Oriental",2024-06-17,0.116231205306412,-0.123998379514416,-6.3679304356507
"Béni Mellal-Khénifra",2024-06-17,0.189118877170404,-0.104442960834654,1.97269863174114
"Casablanca-Settat",2024-06-17,0.203386763766414,-0.181738100896871,1.97409851758498
"Rabat-Salé-Kénitra",2024-06-17,0.237035808702328,-0.123885086014067,2.90769004465991
"Fès-Meknès",2024-06-25,0.180215902491596,-0.110657297042864,1.96174134261908
"Guelmim-Oued Noun",2024-06-25,0.100400730309049,-0.125848851355807,-3.18926335003605
"Laâyoune-Sakia El Hamra",2024-06-25,0.0925680895976754,-0.124053087202402,-4.58253812984027
"Souss-Massa",2024-06-25,0.102717942112091,-0.125301755430216,-2.77320543057068
"Dakhla-Oued Ed-Dahab",2024-06-25,0.0860519485927004,-0.111243440663299,-5.87405743342304
"Tanger-Tétouan-Al Hoceima",2024-06-25,0.355146149806119,-0.0304935248008953,1.16767897858472
"Drâa-Tafilalet",2024-06-25,0.104096133394657,-0.128914628970648,-3.4466761878045
"Marrakech-Safi",2024-06-25,0.152126819672387,-0.111314351124686,2.22599346926369
"l'Oriental",2024-06-25,0.119596341589334,-0.127937862718578,-6.98298753107134
"Béni Mellal-Khénifra",2024-06-25,0.194408908806039,-0.110338073048628,1.93698875199436
"Casablanca-Settat",2024-06-25,0.205889422141538,-0.185795013841792,1.83492861422127
"Rabat-Salé-Kénitra",2024-06-25,0.240526041301735,-0.12576691647,2.86136045528264
"Fès-Meknès",2024-07-03,0.176119527430022,-0.113404501957262,1.76838899233285
"Guelmim-Oued Noun",2024-07-03,0.102341506007489,-0.1320339279425,-3.32350619286788
"Laâyoune-Sakia El Hamra",2024-07-03,0.0952012338980262,-0.122581857258406,-3.99925463896771
"Souss-Massa",2024-07-03,0.104255605799515,-0.128929127873894,-2.95680860469808
"Dakhla-Oued Ed-Dahab",2024-07-03,0.0884799602937168,-0.111544299852339,-5.95081986707011
"Tanger-Tétouan-Al Hoceima",2024-07-03,0.336745791261559,-0.0319199020255929,1.18414642801009
"Drâa-Tafilalet",2024-07-03,0.105678745095825,-0.131064057602439,-3.44784290343132
"Marrakech-Safi",2024-07-03,0.152608045382364,-0.116618668185682,1.9089161753339
"l'Oriental",2024-07-03,0.119640232077516,-0.127728045319306,-6.83427077663931
"Béni Mellal-Khénifra",2024-07-03,0.186572857004309,-0.105203937296933,1.96683823462835
