nom_fr,year,month,day_of_year,date,NDVI_median,NDWI_median,NDDI_median,NDDI_mean
Souss-Massa,2000,6,169,2000-06-17,0.126917620597894,-0.10564744795313721,5.394858706721625,4.310878545368521
Dakhla-Oued Ed-Dahab,2000,6,169,2000-06-17,0.08106000699938656,-0.08785818392934973,-7.1722161958246335,-2.4773280467336822
Tanger-Tétouan-Al Hoceima,2000,6,169,2000-06-17,0.35977887833378813,-0.05392334831328944,1.6416930739602709,1.754033920368379
Drâa-Tafilalet,2000,6,169,2000-06-17,0.1003735966447758,-0.09941848932159578,3.515893290032323,5.090782129641781
Marrakech-Safi,2000,6,169,2000-06-17,0.19980497898378943,-0.113644784414513,5.492661738258175,2.167420162661811
l'Oriental,2000,6,169,2000-06-17,0.17234513938677723,-0.13290621024983937,5.263436746852133,5.885099492027764
Béni Mellal-Khénifra,2000,6,169,2000-06-17,0.18200298607175247,-0.05322537664416894,1.71192498759228,2.348455912397568
Casablanca-Settat,2000,6,169,2000-06-17,0.2034260374566416,-0.15773883201244573,3.8511239654205447,-0.4301464624476299
Rabat-Salé-Kénitra,2000,6,169,2000-06-17,0.23023319415354798,-0.14062305701481678,4.337202958148597,-0.8209540437385502
Fès-Meknès,2000,6,177,2000-06-25,0.1976831058236658,-0.12709734503556008,3.7126994814676153,1.581147881816066
Guelmim-Oued Noun,2000,6,177,2000-06-25,0.0926839152449782,-0.10558921842735117,-7.814623516263709,-8.029479134260013
Laâyoune-Sakia El Hamra,2000,6,177,2000-06-25,0.08388827921465092,-0.10551751009266115,-9.45565278269533,-4.0184585121963465
Souss-Massa,2000,6,177,2000-06-25,0.1309651188513243,-0.11146525937613448,6.110068381547416,12.956709251763609
Dakhla-Oued Ed-Dahab,2000,6,177,2000-06-25,0.0838909849583238,-0.08177325237545861,-10.03677182716976,2.346534309129373
Tanger-Tétouan-Al Hoceima,2000,6,177,2000-06-25,0.3050343500478523,-0.06600338716590506,2.276304673151835,2.6914363513730355
Drâa-Tafilalet,2000,6,177,2000-06-25,0.10353525195503543,-0.11319289824155765,6.010768968004036,2.9933927663618656
Marrakech-Safi,2000,6,177,2000-06-25,0.19717807707020693,-0.12118004543312925,6.187767547979449,7.440905360648961
l'Oriental,2000,6,177,2000-06-25,0.17294934441586648,-0.13295519002579437,5.650809928457636,-0.6259095136259739
Béni Mellal-Khénifra,2000,6,177,2000-06-25,0.18897729093203172,-0.05590766278466707,1.5050761699114086,2.628566570685026
Casablanca-Settat,2000,6,177,2000-06-25,0.2052784572853791,-0.11323317909998579,4.668531185673427,9.399754303439034
Rabat-Salé-Kénitra,2000,6,177,2000-06-25,0.2284294538691371,-0.12860025975801115,2.779222280591593,3.865054278919861
Fès-Meknès,2000,7,185,2000-07-03,0.19132312004322577,-0.13884505649393908,4.239824533708856,4.659537143349856
Guelmim-Oued Noun,2000,7,185,2000-07-03,0.10261495081036631,-0.10748923204196888,-12.508320545089218,3.421280128497696
Laâyoune-Sakia El Hamra,2000,7,185,2000-07-03,0.08004334201406985,-0.1026042087134845,-6.98206571755712,1.4137099404534104
Souss-Massa,2000,7,185,2000-07-03,0.12719145830164577,-0.11495213858511848,8.698378206982122,2.9500035336151096
Dakhla-Oued Ed-Dahab,2000,7,185,2000-07-03,0.0854840599027317,-0.08578171670911096,-7.495847429418839,5.827762809668501
Tanger-Tétouan-Al Hoceima,2000,7,185,2000-07-03,0.30065190413964676,-0.06675503396737932,1.9884170476421934,1.9098067707232838
Drâa-Tafilalet,2000,7,185,2000-07-03,0.1027824974511904,-0.1078237852735559,3.805755052479277,5.474867918492123
Marrakech-Safi,2000,7,185,2000-07-03,0.19520358294770598,-0.12129230020516289,4.90995155308061,3.749202768844118
l'Oriental,2000,7,185,2000-07-03,0.15266114719173646,-0.1334293672955008,3.905565662821923,3.795787418049059
Béni Mellal-Khénifra,2000,7,185,2000-07-03,0.18539976467422,-0.07238256465589743,1.8814830321109477,2.4892871378654493
Casablanca-Settat,2000,7,185,2000-07-03,0.21468006115388644,-0.12894315061870243,4.786406754511178,1.7947789411523
Rabat-Salé-Kénitra,2000,7,185,2000-07-03,0.23068164674577551,-0.12868337172521607,4.532583286882026,-0.9441862898743978
Fès-Meknès,2000,7,193,2000-07-11,0.19109057334430415,-0.13675890139873662,4.0381736049213375,5.64072487338506
Guelmim-Oued Noun,2000,7,193,2000-07-11,0.07439064025789116,-0.08249223693229961,4.955666871648413,-2.111302607188123
Laâyoune-Sakia El Hamra,2000,7,193,2000-07-11,0.08183820770054413,-0.10540134474429604,-8.624255555218268,-7.155664641689809
Souss-Massa,2000,7,193,2000-07-11,0.12896726195905409,-0.10519095475359608,8.15108191507179,12.599859935375562
