nom_fr,year,month,date,NDDI_median,nom_affich
Drâa-Tafilalet,2000,7,2000-07-11,5.432400193401967,Drâa-Tafilalet
Marrakech-Safi,2000,7,2000-07-11,5.737164334005593,Marrakech-Safi
l'Oriental,2000,7,2000-07-11,5.663178766294801,L'Oriental
Béni Mellal-Khénifra,2000,7,2000-07-11,1.428298502252621,Béni Mellal-Khénifra
Casablanca-Settat,2000,7,2000-07-11,4.53573891941825,Casablanca-Settat
Rabat-Salé-Kénitra,2000,7,2000-07-11,4.821862051690336,Rabat-Salé-Kénitra
Fès-Meknès,2000,7,2000-07-19,4.021919848944164,Fès-Meknès
Guelmim-Oued Noun,2000,7,2000-07-19,-7.80140612694723,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,7,2000-07-19,-7.26932846931766,Laâyoune-Sakia El Hamra
Souss-Massa,2000,7,2000-07-19,6.784384950799203,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,7,2000-07-19,-7.317866709175917,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,7,2000-07-19,2.3610203741452884,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,7,2000-07-19,-6.443247832811573,Drâa-Tafilalet
Marrakech-Safi,2000,7,2000-07-19,6.555597994655365,Marrakech-Safi
l'Oriental,2000,7,2000-07-19,5.385143967835322,L'Oriental
Béni Mellal-Khénifra,2000,7,2000-07-19,1.5262901877824866,Béni Mellal-Khénifra
Casablanca-Settat,2000,7,2000-07-19,4.548464731711982,Casablanca-Settat
Rabat-Salé-Kénitra,2000,7,2000-07-19,3.7064350439954743,Rabat-Salé-Kénitra
Fès-Meknès,2000,7,2000-07-27,4.252692027867152,Fès-Meknès
Guelmim-Oued Noun,2000,7,2000-07-27,-7.584328335071144,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,7,2000-07-27,-6.370792877209452,Laâyoune-Sakia El Hamra
Souss-Massa,2000,7,2000-07-27,9.312879802688968,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,7,2000-07-27,-6.111465455175087,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,7,2000-07-27,3.046393057901261,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,7,2000-07-27,5.0551266813775815,Drâa-Tafilalet
Marrakech-Safi,2000,7,2000-07-27,3.716667095365171,Marrakech-Safi
l'Oriental,2000,7,2000-07-27,3.27387410555952,L'Oriental
Béni Mellal-Khénifra,2000,7,2000-07-27,2.4470210640714063,Béni Mellal-Khénifra
Casablanca-Settat,2000,7,2000-07-27,5.660863328361709,Casablanca-Settat
Rabat-Salé-Kénitra,2000,7,2000-07-27,4.894524778505529,Rabat-Salé-Kénitra
Fès-Meknès,2000,8,2000-08-04,4.169075055170571,Fès-Meknès
Guelmim-Oued Noun,2000,8,2000-08-04,-9.64427435033734,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,8,2000-08-04,-6.435717850157856,Laâyoune-Sakia El Hamra
Souss-Massa,2000,8,2000-08-04,8.680521949296429,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,8,2000-08-04,-5.516484535288915,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,8,2000-08-04,2.739191896082528,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,8,2000-08-04,4.848441200910527,Drâa-Tafilalet
Marrakech-Safi,2000,8,2000-08-04,6.326943224532849,Marrakech-Safi
l'Oriental,2000,8,2000-08-04,5.837587418905805,L'Oriental
Béni Mellal-Khénifra,2000,8,2000-08-04,1.9113704581008528,Béni Mellal-Khénifra
Casablanca-Settat,2000,8,2000-08-04,-1.4433112287370735,Casablanca-Settat
Rabat-Salé-Kénitra,2000,8,2000-08-04,5.233656249593023,Rabat-Salé-Kénitra
Fès-Meknès,2000,8,2000-08-12,2.97363819802937,Fès-Meknès
Guelmim-Oued Noun,2000,8,2000-08-12,4.168886986814915,Guelmim-Oued Noun
Laâyoune-Sakia El Hamra,2000,8,2000-08-12,7.692732183291566,Laâyoune-Sakia El Hamra
Souss-Massa,2000,8,2000-08-12,5.317981041265569,Souss-Massa
Dakhla-Oued Ed-Dahab,2000,8,2000-08-12,5.7005929987480695,Dakhla-Oued Ed-Dahab
Tanger-Tétouan-Al Hoceima,2000,8,2000-08-12,1.521287487458308,Tanger-Tétouan-Al Hoceima
Drâa-Tafilalet,2000,8,2000-08-12,3.5508429666503307,Drâa-Tafilalet
